model,temperature,top_p,top_k,repetition,max_length,persona,informativeness,coherency,fluency
LLaMa2-7B-Chat,0.72,0.7,0,1.1,512," i have a dog and two cats, i like to go for runs, i play the guitar, i live by myself, i like country music,",10,9,7
LLaMa2-7B-Chat,0.72,0.68,0,1.1,512," when i shower my skin is nearly red from how hard i scrub, i cannot stand clutter or dust, i have horrible allergies, i spend an hour getting ready in the morning, i still love my cat despite all this,",0,5,8
LLaMa2-13B-Chat,0.7,0.73,0,1.1,512," i m still single at the age of 35, i teach both japanese and drawing classes, i still have a thick accent so words like hippopotamus are difficult, my dog s name is wonwon, i came from japan to teach high school over 10 years ago,",10,8,6
LLaMa2-13B-Chat,0.75,0.73,0,1.1,512," my hobbies include rock collecting and making macaroni art, my lifes goal is to be the worlds foremost encyclopedia salesman, i am a traveling encyclopedia salesman, i once saw peyton manning at the grocery store,",10,10,10
LLaMa2-13B-Chat,0.75,0.73,0,1.1,512," i work as an extra for major motion pictures, i am a talented singer and have won several competitions, i have a set of identical twin brothers, i am a painter and love to create art,",10,9,7
LLaMa2-7B-Chat,0.72,0.73,0,1.1,512," i work at a retail store, i drive a honda civic, i love rock climbing,",10,8,6
LLaMa2-7B-Chat,0.77,0.73,0,1.1,512," i play tabletop games with friends, i need to use an inhaler sometimes, i have a crush on my co worker, i love rpg computer games,",10,10,9
LLaMa2-13B-Chat,0.77,0.73,0,1.1,512," i live in colorado, i own my home, i am married, i have an mba degree, my car is blue,",10,8,7
LLaMa2-13B-Chat,0.79,0.73,0,1.1,512," i love to save money, i donate any overstock to charity, i am a couponer, i like to keep my stockpile organised, i shop several times a week,",10,9,6
LLaMa2-13B-Chat,0.79,0.73,0,1.1,512," i take care of my grandmother on weekdays, i am divorced and looking to date, i have two children , a boy and a girl, i work at an insurance firm,",10,10,10
LLaMa2-13B-Chat,0.72,0.7,0,1.1,512," i love my impala, i like classic radio programs, i enjoy fishing, i love decorating for christmas, summer is my favorite season,",10,10,6
LLaMa2-13B-Chat,0.72,0.7,0,1.1,512," i like the taste of cheese, i like the music group the backstreet boys, i need to take 4 pills a day to live, i am younger then 46,",10,3,3
LLaMa2-13B-Chat,0.72,0.65,0,1.1,512," i ve flown out of the country, i love hockey, i studied business as my major, my bestfriend is from out of town,",10,8,8
LLaMa2-13B-Chat,0.72,0.6,0,1.1,512," i like ford cars, i also like ford trucks, i own a ford truck, my truck is black, i have a ford f150,",10,8,6
LLaMa2-13B-Chat,0.72,0.8,0,1.1,512," i work on semi trucks for a living, my motor never stops running, i got off the road when i married my sweetheart, my father was a driver himself,",10,8,4
LLaMa2-13B-Chat,0.72,0.85,0,1.1,512," i have long red hair, i own 10 cats, my favorite jello is the blue one, i work at home on my computer, i do not eat asparagus,",10,8,6
LLaMa2-7B-Chat,0.72,0.8,0,1.1,512," i am obsessed with animals, i love the natural world beauty, i practice yoga and hike, my family is poor, i believe in fairytales,",10,7,4
LLaMa2-7B-Chat,0.72,0.6,0,1.1,512," i am leaving for college in three months, i am vegan, my favorite band is muse, i work at walmart as a stocker,",10,6,5
LLaMa2-7B-Chat,0.72,0.65,0,1.1,512," i used to be in the marines, when i have nothing else to do , i read books, i work as a bartender, i like to write poetry, i am a vegetarian,",0,7,6
LLaMa2-7B-Chat,0.72,0.7,0,1.1,512," my weekends are spent studying and looking over client files, i m a receptionist at a doctors office, my name is mary, i m also a fulltime student studying radiology at local college,",10,10,9
LLaMa2-7B-Chat,0.72,0.7,0,1.1,512," i like italian cusine, i live in a big city, this summer i went on vacation to italy, i work in the office , 9 till 5, sometimes i go to yoga classes,",10,9,7
LLaMa2-13B-Chat,0.61,0.73,0,1.1,512," i make over 200 , 000 per year, i helped develop facebook, i work as a computer programmer, i have two pitt bulls, i like to donate time and money to charity,",10,7,2
LLaMa2-7B-Chat,0.72,0.72,0,1.1,512," i love book, 1984 is my favorite book, i am allergic to nuts, i am working on a biology degree,",10,9,4
LLaMa2-7B-Chat,0.72,0.68,0,1.1,512," i am an insatiable reader, my favorite movies are disney movies, i live with my parents, i love to play soccer, i work as a waitress,",10,9,7
LLaMa2-13B-Chat,0.88,0.73,0,1.1,512," i just bought a new pair of sneakers and they feel great, my favorite thing to do is sleep, i love ergonomic keyboards and chairs, i love ergonomic keyboards and chairs,",10,6,6
LLaMa2-7B-Chat,0.88,0.73,0,1.1,512," my favorite sport is hockey, i used to be a meat eater but i am now a vegan, watching sports is fun, i go to yoga,",10,8,5
LLaMa2-7B-Chat,1.99,0.5,0,1.1,512," my favorite sport is hockey, i used to be a meat eater but i am now a vegan, watching sports is fun, i go to yoga,",10,9,6
LLaMa2-13B-Chat,1.99,0.5,0,1.1,512," we are getting married in a park, i am getting married next week, my family hates my fiance, we will be traveling to niagra falls for our honeymoon,",10,9,4
LLaMa2-7B-Chat,1.49,0.55,0,1.1,512," i want to be a movie director when i grow up, i really enjoy making friends, i play the trumpet, i am in my high school band,",10,7,2
LLaMa2-13B-Chat,0.75,0.7,0,1.1,512," i have made over 90 , 000 on trifecta bets alone this year, i am a professional horse racing handicapper, i haven t been on a date since high school, i hope one day to own a stable of at least 10 race horses, i am trying to open my own teaching program for horse racing,",10,10,6
LLaMa2-13B-Chat,0.75,0.7,0,1.1,512," i like the color purple, my credit cards are maxed out, i still call my ex boyfriend on his birthday because birthdays are special, i drive a fast sports car,",10,10,8
LLaMa2-13B-Chat,0.75,0.7,0,1.1,512," i am an angry person, i drive a jag, i like to go to bars and people watch, i don t have a lot of family members that i like,",10,8,8
